word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,polarization
want,16,7,19,2.125,0.077,0.47368418559556913
beautiful,5,1,9,3.0,0.599,0.44444439506173394
demand,3,6,7,0.571,-0.128,0.4285713673469475
needy,8,5,7,1.5,-0.34,0.4285713673469475
powerful,14,23,22,0.625,0.422,0.4090908904958686
injury,11,7,10,1.5,-0.422,0.39999996000000404
impressed,4,6,5,0.714,0.477,0.399999920000016
laugh,11,8,8,1.333,0.557,0.3749999531250059
gain,15,33,49,0.471,0.527,0.36734693127863405
rejection,10,14,11,0.733,-0.542,0.3636363305785154
loyal,9,16,20,0.588,0.477,0.34999998250000086
sore,8,11,9,0.75,-0.361,0.33333329629630043
accepted,3,0,9,4.0,0.273,0.33333329629630043
punishment,6,9,9,0.7,-0.494,0.33333329629630043
fit,6,8,6,0.778,0.361,0.33333327777778704
love,5,3,6,1.5,0.637,0.33333327777778704
prepared,4,2,6,1.667,0.226,0.33333327777778704
friendship,2,1,3,1.5,0.44,0.33333322222225925
poisoning,3,2,3,1.333,-0.586,0.33333322222225925
stubborn,1,2,3,0.667,-0.402,0.33333322222225925
victim,1,2,3,0.667,-0.273,0.33333322222225925
shake,3,2,3,1.333,-0.178,0.33333322222225925
hopeful,5,6,3,0.857,0.511,0.33333322222225925
penalty,3,2,3,1.333,-0.459,0.33333322222225925
drunk,9,23,43,0.417,-0.34,0.32558138777717704
angry,56,32,79,1.727,-0.511,0.3037974645088929
timid,8,5,10,1.5,-0.25,0.299999970000003
good,206,256,167,0.805,0.44,0.2994011958119689
wins,9,7,7,1.25,0.572,0.285714244897965
lose,121,163,148,0.744,-0.402,0.2837837818663258
disappointed,99,75,86,1.316,-0.477,0.2790697641968632
cleaner,118,161,156,0.735,0.178,0.275641023874096
help,105,82,84,1.277,0.402,0.27380952054988666
responsible,65,85,76,0.767,0.318,0.2631578912742383
truth,6,8,8,0.778,0.318,0.24999996875000394
gratitude,2,1,4,1.5,0.511,0.24999993750001562
greedy,4,3,4,1.25,-0.318,0.24999993750001562
excited,2,1,4,1.5,0.34,0.24999993750001562
scare,2,1,4,1.5,-0.494,0.24999993750001562
confident,3,2,4,1.333,0.494,0.24999993750001562
appreciation,6,9,13,0.7,0.511,0.23076921301775286
curious,56,46,44,1.213,0.318,0.22727272210743815
arrested,87,108,99,0.807,-0.477,0.21212120997857364
fun,36,30,29,1.194,0.511,0.20689654458977433
fraud,0,1,5,0.5,-0.586,0.199999960000008
cautious,5,4,5,1.2,-0.103,0.199999960000008
losing,2,1,5,1.5,-0.382,0.199999960000008
kind,5,4,5,1.2,0.527,0.199999960000008
friend,0,3,16,0.25,0.494,0.18749998828125072
pay,58,47,59,1.229,-0.103,0.18644067480609028
bad,96,114,99,0.843,-0.542,0.18181817998163455
grateful,31,25,34,1.231,0.459,0.17647058304498286
sad,24,32,46,0.758,-0.477,0.17391303969754263
helpful,294,343,287,0.858,0.422,0.17073170672218918
interested,18,15,18,1.188,0.402,0.1666666574074079
funny,7,6,6,1.143,0.44,0.16666663888889352
broken,8,7,6,1.125,-0.477,0.16666663888889352
celebrate,5,6,6,0.857,0.572,0.16666663888889352
irresponsible,35,30,31,1.161,-0.44,0.1612903173777317
clean,171,205,219,0.835,0.402,0.1552511408436021
problem,19,22,20,0.87,-0.402,0.14999999250000037
trouble,15,22,47,0.696,-0.402,0.14893616704391135
nervous,202,176,179,1.147,-0.273,0.1452513958365844
cut,277,241,262,1.149,-0.273,0.1374045796282268
smile,25,19,44,1.3,0.361,0.13636363326446288
smart,19,21,15,0.909,0.402,0.13333332444444504
sick,93,81,92,1.146,-0.511,0.1304347811909263
wrong,8,10,16,0.818,-0.477,0.12499999218750048
likes,9,8,8,1.111,0.422,0.12499998437500197
friendly,11,13,17,0.857,0.494,0.11764705190311459
thankful,32,40,70,0.805,0.572,0.11428571265306126
better,18,15,28,1.188,0.44,0.10714285331632667
apologize,27,31,39,0.875,0.103,0.10256409993425386
smiles,158,144,143,1.097,0.477,0.09790209721746786
guilty,22,24,21,0.92,-0.422,0.09523809070294806
thanks,34,30,43,1.129,0.44,0.09302325365062201
worried,41,37,46,1.105,-0.296,0.08695651984877131
fire,4,1,35,2.5,-0.34,0.0857142832653062
confused,68,63,61,1.078,-0.318,0.08196721177102932
relieved,81,89,98,0.911,0.382,0.08163265222823825
safe,25,29,49,0.867,0.44,0.08163265139525201
safety,13,12,13,1.077,0.422,0.07692307100591762
surprised,25,27,32,0.929,0.226,0.06249999804687507
alone,14,15,16,0.938,-0.25,0.06249999609375024
happy,435,412,380,1.056,0.572,0.06052631563019391
scared,16,15,18,1.062,-0.44,0.055555552469135974
fired,515,485,551,1.062,-0.557,0.054446460881222396
accomplished,50,52,45,0.962,0.44,0.04444444345679015
determined,39,37,57,1.053,0.34,0.035087718682671604
inquisitive,17,16,46,1.059,0.178,0.02173912996219283
desperate,105,104,63,1.01,-0.318,0.015873015621063243
thank,165,163,135,1.012,0.361,0.014814814705075447
fails,4,4,6,1.0,-0.422,0.0
competitive,2,2,1,1.0,0.178,0.0
error,2,2,2,1.0,-0.402,0.0
thanked,34,34,34,1.0,0.44,0.0
care,4,4,3,1.0,0.494,0.0
joke,2,2,2,1.0,0.296,0.0
safely,2,2,2,1.0,0.494,0.0
accept,1,1,5,1.0,0.382,0.0
appreciative,0,0,22,1.0,0.557,0.0
loses,15,15,14,1.0,-0.318,0.0
hand,2,2,2,1.0,0.494,0.0
win,8,8,11,1.0,0.586,0.0
frustration,3,3,3,1.0,-0.477,0.0
hope,0,0,16,1.0,0.44,0.0
ashamed,2,2,1,1.0,-0.477,0.0
stupid,2,2,2,1.0,-0.527,0.0
empathetic,2,2,1,1.0,0.402,0.0
perfectionist,5,5,5,1.0,0.361,0.0
happiness,1,1,3,1.0,0.557,0.0
fan,2,2,3,1.0,0.318,0.0
creates,0,0,5,1.0,0.273,0.0
pain,2,2,2,1.0,-0.511,0.0
racist,1,1,3,1.0,-0.612,0.0
increase,2,2,2,1.0,0.318,0.0
freeway,3,3,3,1.0,0.052,0.0
