word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,polarization
free,17,4,49,3.6,0.511,0.2653061170345691
disappointed,99,75,91,1.316,-0.477,0.26373626083806306
safety,13,12,4,1.077,0.422,0.24999993750001562
confidence,0,1,4,0.5,0.511,0.24999993750001562
argue,0,1,4,0.5,-0.34,0.24999993750001562
desperate,105,104,4,1.01,-0.318,0.24999993750001562
successful,10,42,134,0.256,0.586,0.23880596836711965
cut,277,241,167,1.149,-0.273,0.2155688609846176
stops,5,2,14,2.0,-0.153,0.21428569897959293
blind,1,2,5,0.667,-0.402,0.199999960000008
encourage,0,1,5,0.5,0.511,0.199999960000008
excited,2,1,5,1.5,0.34,0.199999960000008
cleaner,118,161,224,0.735,0.178,0.1919642848573023
upset,10,18,42,0.579,-0.382,0.1904761859410432
hide,2,5,16,0.5,-0.178,0.18749998828125072
timid,8,5,16,1.5,-0.25,0.18749998828125072
irresponsible,35,30,27,1.161,-0.44,0.18518517832647488
generous,31,18,73,1.684,0.511,0.17808218934133987
trusted,1,4,17,0.4,0.477,0.17647057785467188
fire,4,1,17,2.5,-0.34,0.17647057785467188
interested,18,15,18,1.188,0.402,0.1666666574074079
gratitude,2,1,6,1.5,0.511,0.16666663888889352
hopeful,5,6,6,0.857,0.511,0.16666663888889352
complain,22,9,85,2.3,-0.361,0.1529411746712803
broken,8,7,7,1.125,-0.477,0.1428571224489825
funny,7,6,7,1.143,0.44,0.1428571224489825
like,3,4,7,0.8,0.361,0.1428571224489825
responsible,65,85,148,0.767,0.318,0.13513513422205992
hard,7,11,30,0.667,-0.103,0.13333332888888902
impressed,4,6,15,0.714,0.477,0.13333332444444504
smart,19,21,15,0.909,0.402,0.13333332444444504
fired,515,485,235,1.062,-0.557,0.1276595739248529
mistake,1,2,8,0.667,-0.34,0.12499998437500197
lost,5,4,8,1.2,-0.318,0.12499998437500197
cautious,5,4,8,1.2,-0.103,0.12499998437500197
appreciation,6,9,25,0.7,0.511,0.11999999520000018
curious,56,46,85,1.213,0.318,0.11764705743944638
prepared,4,2,17,1.667,0.226,0.11764705190311459
confused,68,63,44,1.078,-0.318,0.11363636105371908
clean,171,205,307,0.835,0.402,0.1107491853070059
friends,8,4,37,1.8,0.477,0.10810810518626743
fun,36,30,60,1.194,0.511,0.09999999833333337
grateful,31,25,60,1.231,0.459,0.09999999833333337
kind,5,4,10,1.2,0.527,0.09999999000000101
thanks,34,30,44,1.129,0.44,0.09090908884297526
wrong,8,10,22,0.818,-0.477,0.09090908677685969
