word,female_count,male_count,Unisex_count,f_m_ratio,sentiment
alone,11,12,11,0.923,-0.25
supportive,3,3,2,1.0,0.296
anger,2,6,20,0.429,-0.572
lied,3,5,3,0.667,-0.382
allergic,2,2,2,1.0,-0.296
tired,6,17,20,0.389,-0.44
better,233,194,213,1.2,0.44
deceitful,2,2,2,1.0,-0.44
attractive,7,4,4,1.6,0.44
complaining,5,0,1,6.0,-0.202
succeed,23,14,12,1.6,0.494
ready,48,63,42,0.766,0.361
ok,6,9,9,0.7,0.296
unkind,6,7,4,0.875,-0.382
wins,4,14,9,0.333,0.572
unhappy,3,6,5,0.571,-0.422
happy,192,254,229,0.757,0.572
regretful,2,3,2,0.75,-0.44
sneaky,3,3,3,1.0,-0.226
complain,0,5,4,0.167,-0.361
complimented,18,16,18,1.118,0.422
annoyed,31,28,30,1.103,-0.382
empty,3,2,2,1.333,-0.202
upset,11,10,8,1.091,-0.382
forget,2,4,1,0.6,-0.226
protect,26,20,17,1.286,0.382
punish,0,2,5,0.333,-0.527
revenge,1,5,3,0.333,-0.527
competitive,4,4,3,1.0,0.178
lose,32,24,23,1.32,-0.402
mistake,22,24,21,0.92,-0.34
considerate,5,7,5,0.75,0.44
careful,16,15,18,1.062,0.153
grateful,96,82,89,1.169,0.459
okay,11,14,15,0.8,0.226
thief,3,3,2,1.0,-0.527
dirty,4,6,3,0.714,-0.44
impression,6,8,6,0.778,0.226
accept,2,3,1,0.75,0.382
want,169,190,168,0.89,0.077
angry,155,220,175,0.706,-0.511
comfortable,12,12,13,1.0,0.511
thanked,47,52,42,0.906,0.44
cleaner,203,169,204,1.2,0.178
