word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,polarization
relieved,37,30,29,1.226,0.382,0.24137930202140337
wins,4,14,42,0.333,0.572,0.238095232426304
nervous,23,18,21,1.263,-0.273,0.23809522675737013
cut,175,140,151,1.248,-0.273,0.2317880779351783
arrested,103,97,26,1.061,-0.477,0.23076922189349144
worried,7,13,27,0.571,-0.296,0.22222221399176983
truth,36,50,65,0.725,0.318,0.21538461207100598
okay,11,14,14,0.8,0.226,0.21428569897959293
bad,46,58,60,0.797,-0.542,0.19999999666666674
best,6,3,15,1.75,0.637,0.19999998666666757
dirty,4,6,10,0.714,-0.44,0.19999998000000202
beautiful,1,0,5,2.0,0.599,0.199999960000008
confused,7,8,5,0.889,-0.318,0.199999960000008
novel,7,6,5,1.143,0.318,0.199999960000008
laughs,1,0,5,2.0,0.494,0.199999960000008
tired,6,17,58,0.389,-0.44,0.1896551691438764
authority,1,7,33,0.25,0.077,0.18181817630854014
stop,97,95,11,1.021,-0.296,0.1818181652892577
accomplished,8,10,11,0.818,0.44,0.1818181652892577
surprised,41,37,23,1.105,0.226,0.17391303591682453
trusted,5,4,6,1.2,0.477,0.16666663888889352
bully,2,1,6,1.5,-0.494,0.16666663888889352
nice,87,95,50,0.917,0.422,0.15999999680000007
loses,0,4,25,0.2,-0.318,0.15999999360000025
cleaner,203,169,213,1.2,0.178,0.1596244123961295
good,790,871,511,0.907,0.44,0.15851271984635476
mad,52,44,51,1.178,-0.494,0.1568627420222992
convince,4,7,21,0.625,0.25,0.14285713605442207
lawsuit,2,4,14,0.6,-0.226,0.14285713265306196
trusts,0,2,14,0.333,0.477,0.14285713265306196
careful,16,15,7,1.062,0.153,0.1428571224489825
proud,0,1,7,0.5,0.477,0.1428571224489825
want,169,190,154,0.89,0.077,0.13636363547815822
angry,155,220,478,0.706,-0.511,0.13598326331384256
important,5,7,15,0.75,0.202,0.13333332444444504
cheating,16,29,100,0.567,-0.557,0.1299999987
unhappy,3,6,24,0.571,-0.422,0.12499999479166687
smiles,12,14,16,0.867,0.477,0.12499999218750048
lost,1,9,68,0.2,-0.318,0.11764705709342564
friendly,23,26,26,0.889,0.494,0.11538461094674572
party,14,18,37,0.789,0.402,0.10810810518626743
cheated,0,2,20,0.333,-0.511,0.09999999500000024
cheat,1,2,10,0.667,-0.459,0.09999999000000101
fake,0,1,10,0.5,-0.477,0.09999999000000101
sick,5,9,42,0.6,-0.511,0.0952380929705216
favor,12,10,21,1.182,0.402,0.09523809070294806
responsible,17,19,24,0.9,0.318,0.08333332986111125
alone,11,12,12,0.923,-0.25,0.08333332638888948
guilty,8,9,13,0.9,-0.422,0.07692307100591762
safe,188,191,40,0.984,0.44,0.07499999812500005
gift,71,66,68,1.075,0.44,0.07352941068339103
argument,2,5,42,0.5,-0.361,0.0714285697278912
annoyed,31,28,42,1.103,-0.382,0.0714285697278912
generous,12,13,14,0.929,0.511,0.07142856632653098
lied,3,5,29,0.667,-0.382,0.06896551486325811
hero,7,8,16,0.889,0.557,0.06249999609375024
thank,95,102,119,0.932,0.361,0.05882352891744934
agreement,42,43,17,0.977,0.494,0.05882352595155729
rude,117,114,52,1.026,-0.459,0.05769230658284026
broken,4,6,35,0.714,-0.477,0.057142855510204135
upset,11,10,18,1.091,-0.382,0.055555552469135974
thanks,32,33,18,0.971,0.44,0.055555552469135974
crying,0,1,19,0.5,-0.477,0.05263157617728546
mistake,22,24,40,0.92,-0.34,0.04999999875000003
impress,4,5,21,0.833,0.44,0.04761904535147403
curious,42,40,43,1.049,0.318,0.04651162682531101
help,373,388,353,0.961,0.402,0.04249291772664896
fight,16,18,49,0.895,-0.382,0.040816325697626006
stealing,0,1,28,0.5,-0.572,0.035714284438775556
like,98,101,86,0.971,0.361,0.0348837205246079
pay,430,436,182,0.986,-0.103,0.032967032785895425
thanked,47,52,154,0.906,0.44,0.03246753225670434
problem,23,21,68,1.091,-0.402,0.02941176427335641
satisfied,93,89,171,1.044,0.422,0.02339181272870285
