word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,polarization
agree,1,2,4,0.667,0.361,0.24999993750001562
anxious,3,2,4,1.333,-0.25,0.24999993750001562
care,1,2,4,0.667,0.494,0.24999993750001562
unkind,6,7,4,0.875,-0.382,0.24999993750001562
apology,4,5,4,0.833,0.052,0.24999993750001562
admire,0,1,4,0.5,0.477,0.24999993750001562
greet,6,7,4,0.875,0.318,0.24999993750001562
rich,4,5,4,0.833,0.557,0.24999993750001562
greets,7,4,13,1.6,0.153,0.23076921301775286
fired,316,249,291,1.268,-0.557,0.23024054903697405
cut,175,140,157,1.248,-0.273,0.2229299348857966
injured,9,11,9,0.833,-0.402,0.22222219753086697
accomplished,8,10,9,0.818,0.44,0.22222219753086697
avoid,37,45,39,0.826,-0.296,0.20512819986850772
anger,2,6,20,0.429,-0.572,0.1999999900000005
okay,11,14,15,0.8,0.226,0.19999998666666757
smiles,12,14,10,0.867,0.477,0.19999998000000202
scared,13,11,10,1.167,-0.44,0.19999998000000202
fool,3,4,5,0.8,-0.44,0.199999960000008
admitted,2,1,5,1.5,0.103,0.199999960000008
recommends,2,3,5,0.75,0.226,0.199999960000008
better,233,194,213,1.2,0.44,0.183098590689678
relieved,37,30,39,1.226,0.382,0.17948717488494426
mad,52,44,45,1.178,-0.494,0.1777777738271606
compliment,8,11,17,0.75,0.477,0.17647057785467188
bad,46,58,71,0.797,-0.542,0.16901408212656224
cleaner,203,169,204,1.2,0.178,0.1666666658496732
focused,1,2,6,0.667,0.382,0.16666663888889352
trusted,5,4,6,1.2,0.477,0.16666663888889352
confused,7,8,6,0.889,-0.318,0.16666663888889352
novel,7,6,6,1.143,0.318,0.16666663888889352
accident,9,8,6,1.111,-0.477,0.16666663888889352
grateful,96,82,89,1.169,0.459,0.15730336901906328
hurt,17,13,28,1.286,-0.527,0.14285713775510223
hard,5,3,14,1.5,-0.103,0.14285713265306196
hero,7,8,7,0.889,0.557,0.1428571224489825
likes,61,52,66,1.17,0.422,0.13636363429752069
worthless,19,22,23,0.87,-0.44,0.1304347769376184
want,169,190,168,0.89,0.077,0.12499999925595238
upset,11,10,8,1.091,-0.382,0.12499998437500197
friendly,23,26,25,0.889,0.494,0.11999999520000018
thanked,47,52,42,0.906,0.44,0.119047616213152
prepared,16,14,17,1.133,0.226,0.11764705190311459
fight,16,18,17,0.895,-0.382,0.11764705190311459
good,790,871,704,0.907,0.44,0.1150568180183852
complimented,18,16,18,1.118,0.422,0.11111110493827195
favor,12,10,18,1.182,0.402,0.11111110493827195
impress,4,5,9,0.833,0.44,0.11111109876543349
surprised,41,37,38,1.105,0.226,0.10526315512465383
annoyed,31,28,30,1.103,-0.382,0.09999999666666677
guilty,8,9,10,0.9,-0.422,0.09999999000000101
generous,12,13,10,0.929,0.511,0.09999999000000101
liar,53,49,41,1.08,-0.511,0.09756097323022017
mistake,22,24,21,0.92,-0.34,0.09523809070294806
problem,23,21,21,1.091,-0.402,0.09523809070294806
nice,87,95,86,0.917,0.422,0.09302325473228774
alone,11,12,11,0.923,-0.25,0.09090908264462885
clean,594,644,572,0.922,0.402,0.0874125872597682
thank,95,102,85,0.932,0.361,0.08235294020761247
responsible,17,19,28,0.9,0.318,0.07142856887755111
gift,71,66,72,1.075,0.44,0.06944444347993829
arrested,103,97,108,1.061,-0.477,0.05555555504115227
careful,16,15,18,1.062,0.153,0.055555552469135974
helps,40,42,39,0.953,0.382,0.05128204996712693
curious,42,40,42,1.049,0.318,0.0476190464852608
satisfied,93,89,87,1.044,0.422,0.04597701096578148
help,373,388,333,0.961,0.402,0.04504504490977464
thanks,32,33,25,0.971,0.44,0.03999999840000006
rude,117,114,88,1.026,-0.459,0.034090908703512404
cuts,42,40,61,1.049,-0.296,0.03278688470841173
like,98,101,105,0.971,0.361,0.02857142829931973
stop,97,95,71,1.021,-0.296,0.028169013687760373
agreement,42,43,42,0.977,0.494,0.0238095232426304
