word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,gender_association_score
creative,9,6,4,1.429,0.44,0.15789472853185638
friend,0,3,16,0.25,0.494,-0.15789472853185638
loyal,9,16,20,0.588,0.477,-0.1555555520987655
sneaky,4,6,3,0.714,-0.226,-0.15384614201183525
fool,4,6,3,0.714,-0.44,-0.15384614201183525
powerful,14,23,22,0.625,0.422,-0.15254237029589204
needy,8,5,7,1.5,-0.34,0.14999999250000037
rude,19,13,9,1.429,-0.459,0.14634145984533026
angry,56,32,79,1.727,-0.511,0.14371257398974507
injury,11,7,10,1.5,-0.422,0.14285713775510223
love,5,3,6,1.5,0.637,0.14285713265306196
ignored,4,6,4,0.714,-0.318,-0.14285713265306196
gratitude,2,1,4,1.5,0.511,0.1428571224489825
scare,2,1,4,1.5,-0.494,0.1428571224489825
annoyed,3,2,2,1.333,-0.382,0.1428571224489825
perfect,2,3,2,0.75,0.572,-0.1428571224489825
intelligent,2,3,2,0.75,0.459,-0.1428571224489825
excited,2,1,4,1.5,0.34,0.1428571224489825
punish,16,11,10,1.417,-0.527,0.1351351314828343
impressed,4,6,5,0.714,0.477,-0.13333332444444504
laughed,22,29,2,0.767,0.459,-0.13207546920612323
timid,8,5,10,1.5,-0.25,0.1304347769376184
punishment,6,9,9,0.7,-0.494,-0.12499999479166687
losing,2,1,5,1.5,-0.382,0.12499998437500197
shake,3,2,3,1.333,-0.178,0.12499998437500197
penalty,3,2,3,1.333,-0.459,0.12499998437500197
poisoning,3,2,3,1.333,-0.586,0.12499998437500197
rejection,10,14,11,0.733,-0.542,-0.11428571102040827
laugh,11,8,8,1.333,0.557,0.11111110699588492
confident,3,2,4,1.333,0.494,0.11111109876543349
lost,5,4,0,1.2,-0.318,0.11111109876543349
like,3,4,2,0.8,0.361,-0.11111109876543349
appreciation,6,9,13,0.7,0.511,-0.10714285331632667
sore,8,11,9,0.75,-0.361,-0.10714285331632667
proud,9,7,3,1.25,0.477,0.10526315235457093
important,40,51,18,0.788,0.202,-0.10091743026681257
fit,6,8,6,0.778,0.361,-0.09999999500000024
cleaner,118,161,156,0.735,0.178,-0.09885057448540098
lose,121,163,148,0.744,-0.402,-0.09722222199717079
disappointed,99,75,86,1.316,-0.477,0.09230769195266272
truth,6,8,8,0.778,0.318,-0.09090908677685969
greedy,4,3,4,1.25,-0.318,0.09090908264462885
responsible,65,85,76,0.767,0.318,-0.0884955748296656
wins,9,7,7,1.25,0.572,0.08695651795841226
help,105,82,84,1.277,0.402,0.08487084839531052
trouble,15,22,47,0.696,-0.402,-0.08333333234126986
good,206,256,167,0.805,0.44,-0.079491255835467
sad,24,32,46,0.758,-0.477,-0.0784313717800846
fire,4,1,35,2.5,-0.34,0.07499999812500005
arrested,87,108,99,0.807,-0.477,-0.0714285711856171
kind,5,4,5,1.2,0.527,0.07142856632653098
hopeful,5,6,3,0.857,0.511,-0.07142856632653098
cautious,5,4,5,1.2,-0.103,0.07142856632653098
curious,56,46,44,1.213,0.318,0.06849315021580034
smile,25,19,44,1.3,0.361,0.06818181740702481
pay,58,47,59,1.229,-0.103,0.06707317032272457
grateful,31,25,34,1.231,0.459,0.06666666592592593
fun,36,30,29,1.194,0.511,0.06315789407202217
interested,18,15,18,1.188,0.402,0.05882352825836219
wrong,8,10,16,0.818,-0.477,-0.05882352768166096
celebrate,5,6,6,0.857,0.572,-0.05882352595155729
bad,96,114,99,0.843,-0.542,-0.05825242699594684
clean,171,205,219,0.835,0.402,-0.05714285704681873
thankful,32,40,70,0.805,0.572,-0.05633802777226741
helpful,294,343,287,0.858,0.422,-0.05303030297291093
funny,7,6,6,1.143,0.44,0.05263157617728546
irresponsible,35,30,31,1.161,-0.44,0.05208333279079862
problem,19,22,20,0.87,-0.402,-0.049180327062617595
better,18,15,28,1.188,0.44,0.049180327062617595
friendly,11,13,17,0.857,0.494,-0.048780486615110086
broken,8,7,6,1.125,-0.477,0.04761904535147403
nervous,202,176,179,1.147,-0.273,0.04667863546377265
cut,277,241,262,1.149,-0.273,0.04615384609467456
sick,93,81,92,1.146,-0.511,0.045112781785290296
apologize,27,31,39,0.875,0.103,-0.04123711297693698
likes,9,8,8,1.111,0.422,0.03999999840000006
