word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,gender_association_score
laugh,11,8,5,1.333,0.557,0.12499999479166687
blind,1,2,5,0.667,-0.402,-0.12499998437500197
excited,2,1,5,1.5,0.34,0.12499998437500197
important,40,51,2,0.788,0.202,-0.1182795686206498
smile,25,19,8,1.3,0.361,0.11538461316568052
upset,10,18,42,0.579,-0.382,-0.11428571265306126
complain,22,9,85,2.3,-0.361,0.11206896455112962
rude,19,13,22,1.429,-0.459,0.11111110905349798
fit,6,8,4,0.778,0.361,-0.11111110493827195
gratitude,2,1,6,1.5,0.511,0.11111109876543349
generous,31,18,73,1.684,0.511,0.10655737617575921
timid,8,5,16,1.5,-0.25,0.10344827229488716
greedy,4,3,3,1.25,-0.318,0.09999999000000101
sad,24,32,27,0.758,-0.477,-0.09638554100740312
proud,9,7,5,1.25,0.477,0.09523809070294806
arrested,87,108,27,0.807,-0.477,-0.09459459416849282
wins,9,7,6,1.25,0.572,0.09090908677685969
mistake,1,2,8,0.667,-0.34,-0.09090908264462885
disappointed,99,75,91,1.316,-0.477,0.09056603739409043
prepared,4,2,17,1.667,0.226,0.08695651795841226
good,206,256,121,0.805,0.44,-0.08576329316335628
cleaner,118,161,224,0.735,0.178,-0.08548707736483682
thankful,32,40,23,0.805,0.572,-0.08421052542936289
hard,7,11,30,0.667,-0.103,-0.08333333159722227
friends,8,4,37,1.8,0.477,0.08163265139525201
bad,96,114,13,0.843,-0.542,-0.08071748842727584
impressed,4,6,15,0.714,0.477,-0.07999999680000013
appreciation,6,9,25,0.7,0.511,-0.07499999812500005
like,3,4,7,0.8,0.361,-0.07142856632653098
responsible,65,85,148,0.767,0.318,-0.06711409373451646
interested,18,15,18,1.188,0.402,0.05882352825836219
impression,2,0,32,3.0,0.226,0.05882352768166096
cautious,5,4,8,1.2,-0.103,0.05882352595155729
hopeful,5,6,6,0.857,0.511,-0.05882352595155729
lost,5,4,8,1.2,-0.318,0.05882352595155729
sick,93,81,37,1.146,-0.511,0.05687203764515622
nervous,202,176,82,1.147,-0.273,0.05652173900756144
argument,1,2,15,0.667,-0.361,-0.055555552469135974
irresponsible,35,30,27,1.161,-0.44,0.05434782549621929
punish,16,11,66,1.417,-0.527,0.053763440282113543
curious,56,46,85,1.213,0.318,0.053475935542909435
convince,9,5,62,1.667,0.25,0.052631578254847655
truth,6,8,24,0.778,0.318,-0.05263157756232691
stubborn,1,2,16,0.667,-0.402,-0.05263157617728546
kind,5,4,10,1.2,0.527,0.05263157617728546
cut,277,241,167,1.149,-0.273,0.05255474444882519
grateful,31,25,60,1.231,0.459,0.05172413748513675
wrong,8,10,22,0.818,-0.477,-0.04999999875000003
funny,7,6,7,1.143,0.44,0.04999999750000012
clean,171,205,307,0.835,0.402,-0.04978038060061438
fun,36,30,60,1.194,0.511,0.04761904724111867
broken,8,7,7,1.125,-0.477,0.045454543388429844
help,105,82,339,1.277,0.402,0.04372623565831514
celebrate,5,6,12,0.857,0.572,-0.04347825897920613
congratulate,1,0,23,2.0,0.494,0.041666664930555625
friendly,11,13,26,0.857,0.494,-0.03999999920000002
better,18,15,46,1.188,0.44,0.03797468306361161
thanks,34,30,44,1.129,0.44,0.037037036694101515
smart,19,21,15,0.909,0.402,-0.03636363570247935
likes,9,8,11,1.111,0.422,0.035714284438775556
helpful,294,343,743,0.858,0.422,-0.035507246351081705
safety,13,12,4,1.077,0.422,0.034482757431629055
