word,female_count,male_count,PersonX_count,f_m_ratio,sentiment
death,7,4,0,1.6,-0.599
friendly,11,13,26,0.857,0.494
mess,4,2,2,1.667,-0.361
sad,24,32,27,0.758,-0.477
gun,4,1,2,2.5,-0.34
lonely,1,4,1,0.4,-0.361
responsible,65,85,148,0.767,0.318
beautiful,5,1,1,3.0,0.599
trust,13,5,8,2.333,0.511
empathetic,2,2,1,1.0,0.402
impressed,4,6,15,0.714,0.477
respected,0,3,2,0.25,0.477
sneaky,4,6,3,0.714,-0.226
penalty,3,2,0,1.333,-0.459
fan,2,2,12,1.0,0.318
inquisitive,17,16,40,1.059,0.178
convincing,1,3,3,0.5,0.402
proud,9,7,5,1.25,0.477
admire,3,6,0,0.571,0.477
love,5,3,1,1.5,0.637
gratitude,2,1,6,1.5,0.511
protect,2,1,2,1.5,0.382
confident,3,2,0,1.333,0.494
solve,4,14,0,0.333,0.202
jealous,8,5,1,1.5,-0.459
gain,15,33,2,0.471,0.527
leak,3,1,2,2.0,-0.34
shake,3,2,0,1.333,-0.178
surprise,5,3,1,1.5,0.273
authority,14,50,28,0.294,0.077
suspected,19,0,0,20.0,-0.226
illegal,6,14,1,0.467,-0.557
excited,2,1,5,1.5,0.34
appreciation,6,9,25,0.7,0.511
friend,0,3,5,0.25,0.494
leave,48,87,81,0.557,-0.052
competitive,2,2,3,1.0,0.178
win,8,8,88,1.0,0.586
lazy,3,2,2,1.333,-0.361
fine,5,2,3,2.0,0.202
hand,2,2,7,1.0,0.494
error,2,2,2,1.0,-0.402
stops,5,2,14,2.0,-0.153
hero,1,2,34,0.667,0.557
relieved,81,89,102,0.911,0.382
prepared,4,2,17,1.667,0.226
celebrate,5,6,12,0.857,0.572
