word,female_count,male_count,Unisex_count,f_m_ratio,sentiment
suspects,8,0,0,9.0,-0.34
good,206,256,167,0.805,0.44
poisoning,3,2,3,1.333,-0.586
apologizes,2,4,4,0.6,0.361
wrong,8,10,16,0.818,-0.477
authority,14,50,19,0.294,0.077
sure,14,37,22,0.395,0.318
irresponsible,35,30,31,1.161,-0.44
perfect,2,3,2,0.75,0.572
god,2,1,2,1.5,0.273
increase,2,2,2,1.0,0.318
invite,1,3,1,0.5,0.153
interested,18,15,18,1.188,0.402
hope,0,0,16,1.0,0.44
successful,10,42,16,0.256,0.586
admires,7,0,6,8.0,0.361
apologize,27,31,39,0.875,0.103
scared,16,15,18,1.062,-0.44
friend,0,3,16,0.25,0.494
thank,165,163,135,1.012,0.361
ignored,4,6,4,0.714,-0.318
alone,14,15,16,0.938,-0.25
love,5,3,6,1.5,0.637
tired,69,33,62,2.059,-0.44
dissatisfied,5,10,3,0.545,-0.382
better,18,15,28,1.188,0.44
demanded,9,0,4,10.0,-0.226
safety,13,12,13,1.077,0.422
succeed,0,5,0,0.167,0.494
ready,3,2,0,1.333,0.361
ok,6,22,14,0.304,0.296
wins,9,7,7,1.25,0.572
happy,435,412,380,1.056,0.572
sneaky,4,6,3,0.714,-0.226
gains,2,5,5,0.5,0.34
complain,22,9,13,2.3,-0.361
annoyed,3,2,2,1.333,-0.382
upset,10,18,16,0.579,-0.382
gratitude,2,1,4,1.5,0.511
protect,2,1,2,1.5,0.382
punishment,6,9,9,0.7,-0.494
punish,16,11,10,1.417,-0.527
revenge,1,4,3,0.4,-0.527
fake,4,2,3,1.667,-0.477
competitive,2,2,1,1.0,0.178
lose,121,163,148,0.744,-0.402
greedy,4,3,4,1.25,-0.318
mistake,1,2,2,0.667,-0.34
careful,5,0,6,6.0,0.153
grateful,31,25,34,1.231,0.459
dirty,20,33,23,0.618,-0.44
impression,2,0,3,3.0,0.226
hated,2,0,3,3.0,-0.637
accept,1,1,5,1.0,0.382
want,16,7,19,2.125,0.077
illegal,6,14,11,0.467,-0.557
angry,56,32,79,1.727,-0.511
thanked,34,34,34,1.0,0.44
victim,1,2,3,0.667,-0.273
cleaner,118,161,156,0.735,0.178
