word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,gender_association_score
fired,316,249,112,1.268,-0.557,0.09896602644170455
hurt,17,13,12,1.286,-0.527,0.0952380929705216
convince,4,7,21,0.625,0.25,-0.0937499970703126
truth,36,50,65,0.725,0.318,-0.09271523117407132
unhappy,3,6,24,0.571,-0.422,-0.09090908815427007
cheated,0,2,20,0.333,-0.511,-0.09090908677685969
ignore,4,3,4,1.25,-0.361,0.09090908264462885
fake,0,1,10,0.5,-0.477,-0.09090908264462885
cheating,16,29,100,0.567,-0.557,-0.08965517179548158
wrong,37,49,49,0.76,-0.477,-0.08888888823045268
apology,4,5,3,0.833,0.052,-0.08333332638888948
nervous,23,18,21,1.263,-0.273,0.08064515998959419
better,233,194,65,1.2,0.44,0.07926829252181242
okay,11,14,14,0.8,0.226,-0.0769230749506904
cheat,1,2,10,0.667,-0.459,-0.07692307100591762
rich,4,5,4,0.833,0.557,-0.07692307100591762
angry,155,220,478,0.706,-0.511,-0.07620164117678588
cut,175,140,151,1.248,-0.273,0.0751072959761646
important,5,7,15,0.75,0.202,-0.07407407133058995
injured,9,11,7,0.833,-0.402,-0.07407407133058995
likes,61,52,9,1.17,0.422,0.07377049119860253
avoid,37,45,27,0.826,-0.296,-0.07339449473950005
bad,46,58,60,0.797,-0.542,-0.07317073126115407
relieved,37,30,29,1.226,0.382,0.07291666590711807
sick,5,9,42,0.6,-0.511,-0.07142857015306125
accomplished,8,10,11,0.818,0.44,-0.06896551486325811
worthless,19,22,3,0.87,-0.44,-0.06818181663223144
trusted,5,4,6,1.2,0.477,0.06666666222222252
grateful,96,82,38,1.169,0.459,0.06481481451474623
scared,13,11,7,1.167,-0.44,0.06451612695109267
argument,2,5,42,0.5,-0.361,-0.06122448854643901
greet,6,7,4,0.875,0.318,-0.05882352595155729
unkind,6,7,4,0.875,-0.382,-0.05882352595155729
cleaner,203,169,213,1.2,0.178,0.05811965802030828
party,14,18,37,0.789,0.402,-0.05797101365259401
novel,7,6,5,1.143,0.318,0.055555552469135974
mad,52,44,51,1.178,-0.494,0.05442176833726688
lied,3,5,29,0.667,-0.382,-0.054054052593133714
prepared,16,14,8,1.133,0.226,0.05263157756232691
confused,7,8,5,0.889,-0.318,-0.04999999750000012
crying,0,1,19,0.5,-0.477,-0.04999999750000012
smiles,12,14,16,0.867,0.477,-0.0476190464852608
complimented,18,16,8,1.118,0.422,0.0476190464852608
favor,12,10,21,1.182,0.402,0.04651162682531101
broken,4,6,35,0.714,-0.477,-0.04444444345679015
want,169,190,154,0.89,0.077,-0.04093567243482325
friendly,23,26,26,0.889,0.494,-0.03999999946666667
surprised,41,37,23,1.105,0.226,0.03960396000392119
good,790,871,511,0.907,0.44,-0.037292817662388206
clean,594,644,192,0.922,0.402,-0.03496503494058389
nice,87,95,50,0.917,0.422,-0.034482758472057076
liar,53,49,14,1.08,-0.511,0.0344827583234245
stealing,0,1,28,0.5,-0.572,-0.034482757431629055
responsible,17,19,24,0.9,0.318,-0.03333333277777779
guilty,8,9,13,0.9,-0.422,-0.033333332222222255
impress,4,5,21,0.833,0.44,-0.033333332222222255
hero,7,8,16,0.889,0.557,-0.032258063475546335
annoyed,31,28,42,1.103,-0.382,0.029702970002940893
alone,11,12,12,0.923,-0.25,-0.028571427755102068
arrested,103,97,26,1.061,-0.477,0.02654867244889968
careful,16,15,7,1.062,0.153,0.026315788781163457
upset,11,10,18,1.091,-0.382,0.025641024983563465
generous,12,13,14,0.929,0.511,-0.025641024983563465
gift,71,66,68,1.075,0.44,0.024390243783462225
fight,16,18,49,0.895,-0.382,-0.02409638525185078
cuts,42,40,3,1.049,-0.296,0.023529411487889278
mistake,22,24,40,0.92,-0.34,-0.023255813683071936
thank,95,102,119,0.932,0.361,-0.02215189866407627
thanked,47,52,154,0.906,0.44,-0.019762845771688357
problem,23,21,68,1.091,-0.402,0.017857142697704085
accident,9,8,43,1.111,-0.477,0.016666666388888893
curious,42,40,43,1.049,0.318,0.015999999872
help,373,388,353,0.961,0.402,-0.013464991011252252
thanks,32,33,18,0.971,0.44,-0.01204819262592539
helps,40,42,91,0.953,0.382,-0.011560693574793678
satisfied,93,89,171,1.044,0.422,0.011331444727106389
rude,117,114,52,1.026,-0.459,0.010600706676322591
like,98,101,86,0.971,0.361,-0.010526315752539242
stop,97,95,11,1.021,-0.296,0.009852216700235386
agreement,42,43,17,0.977,0.494,-0.009803921472510574
safe,188,191,40,0.984,0.44,-0.007159904517518128
pay,430,436,182,0.986,-0.103,-0.005725190834231688
helpful,223,227,267,0.982,0.422,-0.005578800550099302
mess,53,52,90,1.019,-0.361,0.0051282051019066405
competitive,4,4,4,1.0,0.178,0.0
avoids,0,0,12,1.0,-0.178,0.0
blind,0,0,6,1.0,-0.402,0.0
sore,2,2,27,1.0,-0.361,0.0
thief,3,3,9,1.0,-0.527,0.0
save,3,3,1,1.0,0.494,0.0
hide,5,5,2,1.0,-0.178,0.0
emergency,0,0,11,1.0,-0.382,0.0
comfortable,12,12,4,1.0,0.511,0.0
respectful,3,3,4,1.0,0.459,0.0
indecisive,3,3,3,1.0,-0.25,0.0
unintelligent,3,3,3,1.0,-0.459,0.0
creates,0,0,23,1.0,0.273,0.0
trusting,2,2,3,1.0,0.402,0.0
irresponsible,2,2,2,1.0,-0.44,0.0
welcomed,8,8,0,1.0,0.34,0.0
admires,0,0,9,1.0,0.361,0.0
demanding,5,5,6,1.0,-0.226,0.0
love,0,0,8,1.0,0.637,0.0
supportive,3,3,1,1.0,0.296,0.0
hates,1,1,30,1.0,-0.44,0.0
sad,5,5,2,1.0,-0.477,0.0
argue,3,3,6,1.0,-0.34,0.0
disappointed,2,2,1,1.0,-0.477,0.0
appreciative,8,8,11,1.0,0.557,0.0
protects,0,0,18,1.0,0.318,0.0
smile,3,3,0,1.0,0.361,0.0
problems,2,2,2,1.0,-0.402,0.0
sneaky,3,3,3,1.0,-0.226,0.0
depression,0,0,6,1.0,-0.572,0.0
deceitful,2,2,2,1.0,-0.44,0.0
