word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,gender_association_score
protected,13,9,16,1.4,0.44,0.10526315512465383
trouble,48,65,49,0.742,-0.402,-0.10493827095717116
lose,32,24,23,1.32,-0.402,0.10126582150296429
impression,6,8,6,0.778,0.226,-0.09999999500000024
ignore,4,3,3,1.25,-0.361,0.09999999000000101
recommends,2,3,5,0.75,0.226,-0.09999999000000101
ready,48,63,42,0.766,0.361,-0.09803921504549533
protect,26,20,17,1.286,0.382,0.09523809372637947
happy,192,254,229,0.757,0.572,-0.09185185171577503
wrong,37,49,46,0.76,-0.477,-0.09090909022038568
trustworthy,12,9,12,1.3,0.557,0.09090908815427007
hard,5,3,14,1.5,-0.103,0.09090908677685969
nervous,23,18,17,1.263,-0.273,0.08620689506539836
party,14,18,15,0.789,0.402,-0.08510638116794934
compliment,8,11,17,0.75,0.477,-0.08333333101851859
fool,3,4,5,0.8,-0.44,-0.08333332638888948
fired,316,249,291,1.268,-0.557,0.07827102794594507
rich,4,5,4,0.833,0.557,-0.07692307100591762
apology,4,5,4,0.833,0.052,-0.07692307100591762
okay,11,14,15,0.8,0.226,-0.07499999812500005
cut,175,140,157,1.248,-0.273,0.07415254221577851
accomplished,8,10,9,0.818,0.44,-0.07407407133058995
hurt,17,13,28,1.286,-0.527,0.0689655160523187
injured,9,11,9,0.833,-0.402,-0.06896551486325811
bad,46,58,71,0.797,-0.542,-0.06857142817959185
trusted,5,4,6,1.2,0.477,0.06666666222222252
avoid,37,45,39,0.826,-0.296,-0.06611570193292808
relieved,37,30,39,1.226,0.382,0.0660377352260591
better,233,194,213,1.2,0.44,0.060937499904785156
cleaner,203,169,204,1.2,0.178,0.059027777675299
scared,13,11,10,1.167,-0.44,0.05882352768166096
unkind,6,7,4,0.875,-0.382,-0.05882352595155729
greet,6,7,4,0.875,0.318,-0.05882352595155729
mad,52,44,45,1.178,-0.494,0.056737588250088025
smiles,12,14,10,0.867,0.477,-0.05555555401234573
impress,4,5,9,0.833,0.44,-0.055555552469135974
novel,7,6,6,1.143,0.318,0.05263157617728546
grateful,96,82,89,1.169,0.459,0.05243445673245522
likes,61,52,66,1.17,0.422,0.05027932932804844
favor,12,10,18,1.182,0.402,0.04999999875000003
confused,7,8,6,0.889,-0.318,-0.04761904535147403
worthless,19,22,23,0.87,-0.44,-0.04687499926757814
hero,7,8,7,0.889,0.557,-0.045454543388429844
accident,9,8,6,1.111,-0.477,0.04347825897920613
prepared,16,14,17,1.133,0.226,0.04255319058397467
friendly,23,26,25,0.889,0.494,-0.040540539992695405
want,169,190,168,0.89,0.077,-0.03984819726784023
fight,16,18,17,0.895,-0.382,-0.0392156855055748
complimented,18,16,18,1.118,0.422,0.03846153772189351
guilty,8,9,10,0.9,-0.422,-0.037037035665294975
thanked,47,52,42,0.906,0.44,-0.035460992656305014
surprised,41,37,38,1.105,0.226,0.0344827583234245
upset,11,10,8,1.091,-0.382,0.034482757431629055
good,790,871,704,0.907,0.44,-0.03424947144429198
annoyed,31,28,30,1.103,-0.382,0.03370786478979927
responsible,17,19,28,0.9,0.318,-0.031249999511718758
problem,23,21,21,1.091,-0.402,0.030769230295857996
nice,87,95,86,0.917,0.422,-0.029850746157273334
mistake,22,24,21,0.92,-0.34,-0.0298507458231232
alone,11,12,11,0.923,-0.25,-0.02941176384083048
generous,12,13,10,0.929,0.511,-0.028571427755102068
liar,53,49,41,1.08,-0.511,0.027972027776419387
clean,594,644,572,0.922,0.402,-0.027624309377003144
thank,95,102,85,0.932,0.361,-0.024822694947437253
gift,71,66,72,1.075,0.44,0.023923444861610313
careful,16,15,18,1.062,0.153,0.020408162848813003
arrested,103,97,108,1.061,-0.477,0.019480519417271042
helps,40,42,39,0.953,0.382,-0.01652892548323202
curious,42,40,42,1.049,0.318,0.016129032127991678
satisfied,93,89,87,1.044,0.422,0.014869888420558036
cuts,42,40,61,1.049,-0.296,0.013986013888209694
help,373,388,333,0.961,0.402,-0.01371115172421284
thanks,32,33,25,0.971,0.44,-0.011111110987654323
like,98,101,105,0.971,0.361,-0.009868421020169669
rude,117,114,88,1.026,-0.459,0.0094043886852527
agreement,42,43,42,0.977,0.494,-0.007874015686031372
stop,97,95,71,1.021,-0.296,0.007604562708727899
mess,53,52,50,1.019,-0.361,0.0064516128616024975
helpful,223,227,221,0.982,0.422,-0.005961251854007076
safe,188,191,203,0.984,0.44,-0.005154639166400963
pay,430,436,447,0.986,-0.103,-0.004569687734524228
trusting,2,2,2,1.0,0.402,0.0
irresponsible,2,2,2,1.0,-0.44,0.0
problems,2,2,1,1.0,-0.402,0.0
comfortable,12,12,13,1.0,0.511,0.0
indecisive,3,3,3,1.0,-0.25,0.0
appreciative,8,8,4,1.0,0.557,0.0
supportive,3,3,2,1.0,0.296,0.0
deceitful,2,2,2,1.0,-0.44,0.0
save,3,3,0,1.0,0.494,0.0
thief,3,3,2,1.0,-0.527,0.0
hide,5,5,4,1.0,-0.178,0.0
disappointed,2,2,2,1.0,-0.477,0.0
smile,3,3,0,1.0,0.361,0.0
greetings,2,2,2,1.0,0.422,0.0
allergic,2,2,2,1.0,-0.296,0.0
sore,2,2,1,1.0,-0.361,0.0
competitive,4,4,3,1.0,0.178,0.0
argue,3,3,5,1.0,-0.34,0.0
sneaky,3,3,3,1.0,-0.226,0.0
respectful,3,3,4,1.0,0.459,0.0
welcomed,8,8,0,1.0,0.34,0.0
demanding,5,5,6,1.0,-0.226,0.0
unintelligent,3,3,3,1.0,-0.459,0.0
sad,5,5,3,1.0,-0.477,0.0
